commodity_name,factor_id_right
DAP,F02
Zinc,F20
Maize,F20
"Bananas, EU",F16
Zinc,F04
"Rice, Thailand A1",F20
Palmkernel oil,F16
Zinc,F02
Silver,F20
"Sawnwood, S.E. Asia",F08
Zinc,F06
"Rice, Thailand 25%",F04
Potassium chloride,F13
"Sugar, U.S.",F16
Zinc,F12
"Crude oil, WTI",F20
"Tea, Colombo",F20
"Sugar, EU",F18
"Crude oil, Dubai",F19
"Rubber, RSS3",F14
"Sugar, U.S.",F08
Palmkernel oil,F06
"Wheat, U.S., HRW",F16
Shrimp,F02
Potassium chloride,F14
Soybean meal,F22
Palmkernel oil,F08
"Crude oil, Dubai",F04
"Bananas, EU",F02
"Bananas, EU",F08
Shrimp,F20
"Wheat, U.S., HRW",F12
TSP,F12
"Crude oil, WTI",F16
"Liquefied natural gas, Japan",F08
Soybean meal,F16
"Rice, Thailand 5%",F16
"Coal, South Africa",F20
Maize,F04
Nickel,F13
"Natural gas, Index",F02
TSP,F04
Tin,F08
Soybean meal,F12
Nickel,F08
Cocoa,F20
Beef,F24
"Liquefied natural gas, Japan",F16
Beef,F20
"Logs, Africa",F02
"Bananas, U.S.",F20
Maize,F08
Maize,F16
"Rice, Thailand A1",F08
Soybean oil,F20
Oranges,F20
"Wheat, U.S., HRW",F06
"Bananas, U.S.",F16
Oranges,F02
Nickel,F16
Oranges,F08
"Liquefied natural gas, Japan",F09
"Rice, Thailand 5%",F20
Nickel,F20
Oranges,F04
"Rubber, RSS3",F16
"Natural gas, U.S.",F09
Plywood,F09
Oranges,F16
Plywood,F20
Groundnuts,F02
"Wheat, U.S., HRW",F20
Oranges,F14
"Rubber, TSR20",F02
"Wheat, U.S., HRW",F13
"Sawnwood, Africa",F02
"Sawnwood, Africa",F16
"Wheat, U.S., SRW",F15
Potassium chloride,F02
Cocoa,F16
Potassium chloride,F04
Potassium chloride,F20
"Rubber, TSR20",F20
"Rice, Thailand A1",F16
Soybean oil,F22
"Natural gas, Europe",F20
"Bananas, U.S.",F08
Plywood,F02
"Sugar, World",F08
"Rice, Thailand 5%",F13
Barley,F12
Potassium chloride,F08
"Natural gas, U.S.",F21
Plywood,F08
"Natural gas, U.S.",F02
Shrimp,F22
"Rice, Thailand 5%",F04
Barley,F13
"Sugar, World",F06
Plywood,F19
"Coal, South Africa",F09
"Coal, South Africa",F19
"Natural gas, U.S.",F16
Plywood,F04
"Sugar, World",F20
"Natural gas, U.S.",F20
"Rubber, TSR20",F16
Silver,F13
"Crude oil, Dubai",F02
"Rubber, RSS3",F20
"Natural gas, U.S.",F19
"Natural gas, Index",F19
Cocoa,F08
"Wheat, U.S., HRW",F21
"Rubber, TSR20",F04
TSP,F08
"Rice, Thailand 5%",F02
Groundnut oil,F24
Nickel,F12
Shrimp,F04
"Sugar, World",F04
Plywood,F16
"Sugar, EU",F12
"Sugar, World",F16
"Natural gas, Index",F20
Barley,F04
"Coal, South Africa",F16
"Sugar, EU",F02
"Crude oil, Dubai",F16
"Rice, Thailand 5%",F08
"Coal, South Africa",F08
Aluminum,F16
"Natural gas, Europe",F21
"Bananas, EU",F20
"Sugar, World",F02
"Sawnwood, Africa",F04
Plywood,F21
"Crude oil, average",F20
Aluminum,F04
Beef,F16
"Wheat, U.S., HRW",F15
"Liquefied natural gas, Japan",F20
"Liquefied natural gas, Japan",F04
"Wheat, U.S., SRW",F20
"Sugar, EU",F16
"Natural gas, U.S.",F04
Potassium chloride,F12
"Tea, Kolkata",F16
Gold,F16
Potassium chloride,F16
Lead,F04
Groundnuts,F20
"Coal, South Africa",F12
Groundnuts,F04
"Sugar, EU",F20
"Tea, average",F02
"Natural gas, Index",F21
Cocoa,F04
"Natural gas, Europe",F16
"Tea, average",F16
"Bananas, EU",F04
"Sawnwood, Africa",F08
"Natural gas, Index",F08
Groundnuts,F08
"Tea, average",F04
"Sawnwood, Africa",F20
"Sawnwood, S.E. Asia",F02
Plywood,F12
"Sawnwood, Africa",F15
Maize,F09
"Sugar, EU",F15
"Tea, average",F20
Aluminum,F08
"Wheat, U.S., SRW",F12
"Natural gas, U.S.",F12
"Wheat, U.S., HRW",F19
"Wheat, U.S., SRW",F19
"Sugar, EU",F04
Gold,F04
Groundnuts,F16
Gold,F19
"Natural gas, Europe",F08
Gold,F08
"Sugar, U.S.",F12
"Sugar, EU",F08
"Wheat, U.S., SRW",F16
"Coal, South Africa",F21
"Rice, Vietnam 5%",F16
"Crude oil, Dubai",F12
"Tea, Kolkata",F20
Shrimp,F08
"Natural gas, Europe",F19
"Rice, Thailand 25%",F20
"Natural gas, Europe",F22
Beef,F21
Cocoa,F18
"Crude oil, Dubai",F08
Chicken,F14
"Wheat, U.S., SRW",F04
"Wheat, U.S., SRW",F09
"Wheat, U.S., SRW",F08
Maize,F02
Chicken,F20
