commodity_name,factor_id_right
"Rice, Thailand 25%",F16
"Sawnwood, Africa",F16
"Rice, Thailand A1",F21
Zinc,F15
Coconut oil,F04
Shrimp,F16
Lead,F02
"Rice, Thailand A1",F16
Phosphate rock,F21
"Liquefied natural gas, Japan",F21
Groundnut oil,F04
"Liquefied natural gas, Japan",F20
"Crude oil, Dubai",F06
Palmkernel oil,F16
Tin,F20
Copper,F16
Tin,F16
"Tea, Mombasa",F08
Tin,F08
Tin,F06
Cocoa,F20
"Urea, E. Europe",F08
"Crude oil, average",F08
"Wheat, U.S., SRW",F02
"Logs, S.E. Asia",F16
Platinum,F16
"Logs, S.E. Asia",F20
"Crude oil, average",F02
Gold,F04
Chicken,F04
Cocoa,F08
Lamb,F08
"Wheat, U.S., SRW",F19
Iron ore,F16
Soybean oil,F08
Barley,F16
"Urea, E. Europe",F02
"Rice, Vietnam 5%",F02
"Wheat, U.S., SRW",F20
Iron ore,F04
"Crude oil, Dubai",F21
"Wheat, U.S., SRW",F16
"Rubber, RSS3",F02
"Urea, E. Europe",F10
Iron ore,F08
"Rubber, TSR20",F08
Soybean oil,F12
"Tea, Kolkata",F20
Palmkernel oil,F21
Iron ore,F20
"Rubber, RSS3",F04
"Liquefied natural gas, Japan",F08
"Rubber, TSR20",F04
Iron ore,F02
Soybean meal,F04
"Natural gas, U.S.",F06
"Urea, E. Europe",F16
Iron ore,F12
"Tea, Kolkata",F02
"Wheat, U.S., SRW",F08
Chicken,F16
Iron ore,F21
"Urea, E. Europe",F04
Soybean oil,F02
"Crude oil, Dubai",F04
"Rubber, TSR20",F16
Soybeans,F04
"Natural gas, U.S.",F21
"Rice, Vietnam 5%",F21
"Rubber, RSS3",F20
Soybean oil,F16
Soybeans,F20
Groundnut oil,F16
"Crude oil, Dubai",F20
Soybeans,F12
Soybean oil,F19
Chicken,F08
Phosphate rock,F19
Soybeans,F08
"Crude oil, average",F21
Phosphate rock,F20
Soybeans,F16
Lamb,F02
Palmkernel oil,F20
Chicken,F06
Soybean meal,F02
"Natural gas, U.S.",F20
"Urea, E. Europe",F20
"Crude oil, Dubai",F16
Soybeans,F02
Cocoa,F16
Groundnut oil,F06
Cocoa,F04
Platinum,F08
"Tea, Mombasa",F16
Cocoa,F02
Groundnut oil,F02
"Coal, South Africa",F16
Lead,F13
"Crude oil, Dubai",F08
"Tea, Mombasa",F20
Soybeans,F13
"Rice, Vietnam 5%",F22
"Wheat, U.S., SRW",F12
"Rice, Thailand 5%",F20
"Crude oil, Dubai",F12
"Coal, South Africa",F21
Gold,F16
Barley,F12
"Coal, South Africa",F20
"Rice, Thailand A1",F13
Chicken,F22
Chicken,F02
"Coal, South Africa",F02
Soybean oil,F20
"Coal, South Africa",F08
"Rice, Thailand 5%",F08
Copper,F20
"Coal, South Africa",F19
Groundnut oil,F20
"Rice, Vietnam 5%",F20
"Natural gas, U.S.",F12
"Rice, Thailand 5%",F04
"Liquefied natural gas, Japan",F19
"Coal, South Africa",F13
"Wheat, U.S., SRW",F04
"Rubber, RSS3",F16
Copper,F12
"Coffee, Arabica",F04
Copper,F04
"Rubber, TSR20",F20
Fish meal,F16
Chicken,F13
Soybean oil,F04
"Coffee, Arabica",F20
"Coffee, Arabica",F16
Lamb,F06
"Rice, Thailand A1",F20
Phosphate rock,F02
Platinum,F20
"Coffee, Arabica",F02
"Urea, E. Europe",F12
Platinum,F04
"Rice, Vietnam 5%",F16
"Wheat, U.S., SRW",F09
"Crude oil, average",F20
Barley,F08
"Urea, E. Europe",F06
"Rice, Vietnam 5%",F08
"Coffee, Arabica",F08
"Tea, Kolkata",F16
"Natural gas, U.S.",F04
"Coffee, Arabica",F13
"Crude oil, average",F16
Soybean oil,F13
Groundnuts,F04
"Rubber, RSS3",F12
Soybean meal,F13
Groundnuts,F20
Plywood,F16
Phosphate rock,F13
Groundnuts,F16
Phosphate rock,F16
"Rice, Thailand 5%",F16
Soybean meal,F16
Palmkernel oil,F04
"Liquefied natural gas, Japan",F02
"Crude oil, average",F04
Groundnuts,F08
"Tea, Mombasa",F02
Barley,F06
Groundnuts,F06
"Rice, Vietnam 5%",F13
Maize,F20
Soybean oil,F15
Maize,F04
Chicken,F20
"Liquefied natural gas, Japan",F16
"Natural gas, U.S.",F24
Maize,F12
Palmkernel oil,F02
Maize,F06
Groundnut oil,F08
"Natural gas, Index",F04
Phosphate rock,F08
Phosphate rock,F04
Maize,F08
Phosphate rock,F09
Chicken,F09
