formula_id_a,formula_id_b,label
F003,F011,ENTAILED
F003,F012,NOT_ENTAILED
F003,F013,NOT_ENTAILED
F003,F014,NOT_ENTAILED
F003,F015,NOT_ENTAILED
F003,F016,NOT_ENTAILED
F003,F017,NOT_ENTAILED
F003,F018,NOT_ENTAILED
F003,F019,NOT_ENTAILED
F003,F020,NOT_ENTAILED
F003,F021,ENTAILED
F003,F022,NOT_ENTAILED
F003,F023,ENTAILED
F003,F024,NOT_ENTAILED
F003,F025,NOT_ENTAILED
F003,F026,ENTAILED
F004,F001,ENTAILED
F004,F002,NOT_ENTAILED
F004,F003,NOT_ENTAILED
F004,F004,ENTAILED
F004,F005,ENTAILED
F004,F006,ENTAILED
F004,F007,ENTAILED
F004,F008,ENTAILED
F004,F009,ENTAILED
F004,F010,NOT_ENTAILED
F004,F011,ENTAILED
F004,F012,ENTAILED
F004,F013,ENTAILED
F004,F014,ENTAILED
F004,F015,NOT_ENTAILED
F004,F016,ENTAILED
F004,F017,ENTAILED
F004,F018,NOT_ENTAILED
F004,F019,NOT_ENTAILED
F004,F020,ENTAILED
F004,F021,NOT_ENTAILED
F004,F022,NOT_ENTAILED
F004,F023,NOT_ENTAILED
F004,F024,NOT_ENTAILED
F004,F025,NOT_ENTAILED
F004,F026,NOT_ENTAILED
F005,F001,NOT_ENTAILED
F005,F002,NOT_ENTAILED
F005,F003,NOT_ENTAILED
F005,F004,NOT_ENTAILED
F005,F005,ENTAILED
F005,F006,NOT_ENTAILED
F005,F007,NOT_ENTAILED
F005,F008,NOT_ENTAILED
F005,F009,NOT_ENTAILED
F005,F010,NOT_ENTAILED
F005,F011,NOT_ENTAILED
F005,F012,NOT_ENTAILED
F005,F013,NOT_ENTAILED
F005,F014,NOT_ENTAILED
F005,F015,NOT_ENTAILED
F005,F016,NOT_ENTAILED
F005,F017,NOT_ENTAILED
F005,F018,NOT_ENTAILED
F005,F019,NOT_ENTAILED
F005,F020,NOT_ENTAILED
F005,F021,NOT_ENTAILED
F005,F022,NOT_ENTAILED
F005,F023,NOT_ENTAILED
F005,F024,NOT_ENTAILED
F005,F025,NOT_ENTAILED
F005,F026,NOT_ENTAILED
F006,F001,NOT_ENTAILED
F006,F002,NOT_ENTAILED
F006,F003,NOT_ENTAILED
F006,F004,NOT_ENTAILED
F006,F005,NOT_ENTAILED
F006,F006,ENTAILED
F006,F007,NOT_ENTAILED
F006,F008,NOT_ENTAILED
F006,F009,NOT_ENTAILED
F006,F010,NOT_ENTAILED
F006,F011,NOT_ENTAILED
F006,F012,NOT_ENTAILED
F006,F013,NOT_ENTAILED
F006,F014,NOT_ENTAILED
F006,F015,NOT_ENTAILED
F006,F016,NOT_ENTAILED
F006,F017,NOT_ENTAILED
F006,F018,NOT_ENTAILED
F006,F019,NOT_ENTAILED
F006,F020,NOT_ENTAILED
F006,F021,NOT_ENTAILED
F006,F022,NOT_ENTAILED
F006,F023,NOT_ENTAILED
F006,F024,NOT_ENTAILED
F006,F025,NOT_ENTAILED
F006,F026,NOT_ENTAILED
F007,F001,ENTAILED
F007,F002,NOT_ENTAILED
F007,F003,NOT_ENTAILED
F007,F004,NOT_ENTAILED
F007,F005,NOT_ENTAILED
F007,F006,ENTAILED
F007,F007,ENTAILED
F007,F008,NOT_ENTAILED
F007,F009,NOT_ENTAILED
F007,F010,NOT_ENTAILED
F007,F011,NOT_ENTAILED
F007,F012,ENTAILED
F007,F013,ENTAILED
F007,F014,NOT_ENTAILED
F007,F015,NOT_ENTAILED
F007,F016,NOT_ENTAILED
F007,F017,ENTAILED
F007,F018,NOT_ENTAILED
F007,F019,NOT_ENTAILED
F007,F020,ENTAILED
F007,F021,NOT_ENTAILED
F007,F022,NOT_ENTAILED
F007,F023,NOT_ENTAILED
F007,F024,NOT_ENTAILED
F007,F025,NOT_ENTAILED
F007,F026,NOT_ENTAILED
F008,F001,ENTAILED
F008,F002,NOT_ENTAILED
F008,F003,NOT_ENTAILED
F008,F004,NOT_ENTAILED
F008,F005,ENTAILED
F008,F006,ENTAILED
F008,F007,ENTAILED
F008,F008,ENTAILED
F008,F009,ENTAILED
F008,F010,NOT_ENTAILED
F008,F011,NOT_ENTAILED
F008,F012,ENTAILED
F008,F013,ENTAILED
F008,F014,ENTAILED
F008,F015,NOT_ENTAILED
F008,F016,NOT_ENTAILED
F008,F017,ENTAILED
F008,F018,NOT_ENTAILED
F008,F019,NOT_ENTAILED
F008,F020,ENTAILED
F008,F021,NOT_ENTAILED
F008,F022,NOT_ENTAILED
F008,F023,NOT_ENTAILED
F008,F024,NOT_ENTAILED
F008,F025,NOT_ENTAILED
F008,F026,NOT_ENTAILED
F009,F001,NOT_ENTAILED
F009,F002,NOT_ENTAILED
F009,F003,NOT_ENTAILED
F009,F004,NOT_ENTAILED
F009,F005,ENTAILED
F009,F006,ENTAILED
F009,F007,NOT_ENTAILED
F009,F008,NOT_ENTAILED
F009,F009,ENTAILED
F009,F010,NOT_ENTAILED
F009,F011,NOT_ENTAILED
F009,F012,NOT_ENTAILED
F009,F013,NOT_ENTAILED
F009,F014,ENTAILED
F009,F015,NOT_ENTAILED
F009,F016,NOT_ENTAILED
F009,F017,ENTAILED
F009,F018,NOT_ENTAILED
F009,F019,NOT_ENTAILED
F009,F020,NOT_ENTAILED
F009,F021,NOT_ENTAILED
F009,F022,NOT_ENTAILED
F009,F023,NOT_ENTAILED
F009,F024,NOT_ENTAILED
F009,F025,NOT_ENTAILED
F009,F026,NOT_ENTAILED
F010,F001,ENTAILED
F010,F002,NOT_ENTAILED
F010,F003,ENTAILED
F010,F004,NOT_ENTAILED
F010,F005,NOT_ENTAILED
F010,F006,NOT_ENTAILED
F010,F007,NOT_ENTAILED
F010,F008,NOT_ENTAILED
F010,F009,NOT_ENTAILED
F010,F010,ENTAILED
F010,F011,ENTAILED
F010,F012,ENTAILED
F010,F013,NOT_ENTAILED
F010,F014,NOT_ENTAILED
F010,F015,ENTAILED
F010,F016,ENTAILED
F010,F017,NOT_ENTAILED
F010,F018,NOT_ENTAILED
F010,F019,NOT_ENTAILED
F010,F020,NOT_ENTAILED
F010,F021,ENTAILED
F010,F022,ENTAILED
F010,F023,ENTAILED
F010,F024,NOT_ENTAILED
F010,F025,ENTAILED
F010,F026,ENTAILED
F011,F001,NOT_ENTAILED
F011,F002,NOT_ENTAILED
F011,F003,NOT_ENTAILED
F011,F004,NOT_ENTAILED
F011,F005,NOT_ENTAILED
F011,F006,NOT_ENTAILED
F011,F007,NOT_ENTAILED
F011,F008,NOT_ENTAILED
F011,F009,NOT_ENTAILED
F011,F010,NOT_ENTAILED
F011,F011,ENTAILED
F011,F012,NOT_ENTAILED
F011,F013,NOT_ENTAILED
F011,F014,NOT_ENTAILED
F011,F015,NOT_ENTAILED
F011,F016,NOT_ENTAILED
F011,F017,NOT_ENTAILED
F011,F018,NOT_ENTAILED
F011,F019,NOT_ENTAILED
F011,F020,NOT_ENTAILED
F011,F021,NOT_ENTAILED
F011,F022,NOT_ENTAILED
F011,F023,NOT_ENTAILED
F011,F024,NOT_ENTAILED
F011,F025,NOT_ENTAILED
F011,F026,NOT_ENTAILED
F012,F001,NOT_ENTAILED
F012,F002,NOT_ENTAILED
F012,F003,NOT_ENTAILED
F012,F004,NOT_ENTAILED
F012,F005,NOT_ENTAILED
F012,F006,NOT_ENTAILED
F012,F007,NOT_ENTAILED
F012,F008,NOT_ENTAILED
F012,F009,NOT_ENTAILED
F012,F010,NOT_ENTAILED
F012,F011,NOT_ENTAILED
F012,F012,ENTAILED
F012,F013,NOT_ENTAILED
F012,F014,NOT_ENTAILED
F012,F015,NOT_ENTAILED
F012,F016,NOT_ENTAILED
F012,F017,NOT_ENTAILED
F012,F018,NOT_ENTAILED
F012,F019,NOT_ENTAILED
F012,F020,NOT_ENTAILED
F012,F021,NOT_ENTAILED
F012,F022,NOT_ENTAILED
F012,F023,NOT_ENTAILED
F012,F024,NOT_ENTAILED
F012,F025,NOT_ENTAILED
F012,F026,NOT_ENTAILED
F013,F001,ENTAILED
F013,F002,NOT_ENTAILED
F013,F003,NOT_ENTAILED
F013,F004,NOT_ENTAILED
F013,F005,NOT_ENTAILED
F013,F006,ENTAILED
F013,F007,ENTAILED
F013,F008,NOT_ENTAILED
F013,F009,NOT_ENTAILED
F013,F010,NOT_ENTAILED
F013,F011,NOT_ENTAILED
F013,F012,ENTAILED
F013,F013,ENTAILED
F013,F014,NOT_ENTAILED
F013,F015,NOT_ENTAILED
F013,F016,NOT_ENTAILED
F013,F017,ENTAILED
F013,F018,NOT_ENTAILED
F013,F019,NOT_ENTAILED
F013,F020,ENTAILED
F013,F021,NOT_ENTAILED
F013,F022,NOT_ENTAILED
F013,F023,NOT_ENTAILED
F013,F024,NOT_ENTAILED
F013,F025,NOT_ENTAILED
F013,F026,NOT_ENTAILED
F014,F001,NOT_ENTAILED
F014,F002,NOT_ENTAILED
F014,F003,NOT_ENTAILED
F014,F004,NOT_ENTAILED
F014,F005,ENTAILED
F014,F006,ENTAILED
F014,F007,NOT_ENTAILED
F014,F008,NOT_ENTAILED
F014,F009,ENTAILED
F014,F010,NOT_ENTAILED
F014,F011,NOT_ENTAILED
F014,F012,NOT_ENTAILED
F014,F013,NOT_ENTAILED
F014,F014,ENTAILED
F014,F015,NOT_ENTAILED
F014,F016,NOT_ENTAILED
F014,F017,ENTAILED
F014,F018,NOT_ENTAILED
F014,F019,NOT_ENTAILED
F014,F020,NOT_ENTAILED
F014,F021,NOT_ENTAILED
F014,F022,NOT_ENTAILED
F014,F023,NOT_ENTAILED
F014,F024,NOT_ENTAILED
F014,F025,NOT_ENTAILED
F014,F026,NOT_ENTAILED
F015,F001,NOT_ENTAILED
F015,F002,NOT_ENTAILED
F015,F003,NOT_ENTAILED
F015,F004,NOT_ENTAILED
F015,F005,NOT_ENTAILED
F015,F006,NOT_ENTAILED
F015,F007,NOT_ENTAILED
F015,F008,NOT_ENTAILED
F015,F009,NOT_ENTAILED
F015,F010,NOT_ENTAILED
F015,F011,NOT_ENTAILED
F015,F012,ENTAILED
F015,F013,NOT_ENTAILED
F015,F014,NOT_ENTAILED
F015,F015,ENTAILED
F015,F016,NOT_ENTAILED
F015,F017,NOT_ENTAILED
F015,F018,NOT_ENTAILED
F015,F019,NOT_ENTAILED
F015,F020,NOT_ENTAILED
F015,F021,ENTAILED
F015,F022,NOT_ENTAILED
F015,F023,ENTAILED
F015,F024,NOT_ENTAILED
F015,F025,NOT_ENTAILED
F015,F026,ENTAILED
F016,F001,ENTAILED
F016,F002,NOT_ENTAILED
F016,F003,NOT_ENTAILED
F016,F004,NOT_ENTAILED
F016,F005,NOT_ENTAILED
F016,F006,NOT_ENTAILED
F016,F007,NOT_ENTAILED
F016,F008,NOT_ENTAILED
F016,F009,NOT_ENTAILED
F016,F010,NOT_ENTAILED
F016,F011,ENTAILED
F016,F012,ENTAILED
F016,F013,NOT_ENTAILED
F016,F014,NOT_ENTAILED
F016,F015,NOT_ENTAILED
F016,F016,ENTAILED
F016,F017,NOT_ENTAILED
F016,F018,NOT_ENTAILED
F016,F019,NOT_ENTAILED
F016,F020,NOT_ENTAILED
F016,F021,NOT_ENTAILED
F016,F022,NOT_ENTAILED
F016,F023,NOT_ENTAILED
F016,F024,NOT_ENTAILED
F016,F025,NOT_ENTAILED
F016,F026,NOT_ENTAILED
F017,F001,NOT_ENTAILED
F017,F002,NOT_ENTAILED
F017,F003,NOT_ENTAILED
F017,F004,NOT_ENTAILED
F017,F005,NOT_ENTAILED
F017,F006,ENTAILED
F017,F007,NOT_ENTAILED
F017,F008,NOT_ENTAILED
F017,F009,NOT_ENTAILED
F017,F010,NOT_ENTAILED
F017,F011,NOT_ENTAILED
F017,F012,NOT_ENTAILED
F017,F013,NOT_ENTAILED
F017,F014,NOT_ENTAILED
F017,F015,NOT_ENTAILED
F017,F016,NOT_ENTAILED
F017,F017,ENTAILED
F017,F018,NOT_ENTAILED
F017,F019,NOT_ENTAILED
F017,F020,NOT_ENTAILED
F017,F021,NOT_ENTAILED
F017,F022,NOT_ENTAILED
F017,F023,NOT_ENTAILED
F017,F024,NOT_ENTAILED
F017,F025,NOT_ENTAILED
F017,F026,NOT_ENTAILED
F018,F001,NOT_ENTAILED
F018,F002,ENTAILED
F018,F003,ENTAILED
F018,F004,NOT_ENTAILED
F018,F005,ENTAILED
F018,F006,ENTAILED
F018,F007,NOT_ENTAILED
F018,F008,NOT_ENTAILED
F018,F009,ENTAILED
F018,F010,NOT_ENTAILED
F018,F011,ENTAILED
F018,F012,NOT_ENTAILED
F018,F013,NOT_ENTAILED
F018,F014,ENTAILED
F018,F015,NOT_ENTAILED
F018,F016,NOT_ENTAILED
F018,F017,ENTAILED
F018,F018,ENTAILED
F018,F019,NOT_ENTAILED
F018,F020,NOT_ENTAILED
F018,F021,ENTAILED
F018,F022,NOT_ENTAILED
F018,F023,ENTAILED
F018,F024,NOT_ENTAILED
F018,F025,NOT_ENTAILED
F018,F026,ENTAILED
F019,F001,ENTAILED
F019,F002,NOT_ENTAILED
F019,F003,NOT_ENTAILED
F019,F004,ENTAILED
F019,F005,ENTAILED
F019,F006,ENTAILED
F019,F007,ENTAILED
F019,F008,ENTAILED
F019,F009,ENTAILED
F019,F010,NOT_ENTAILED
F019,F011,ENTAILED
F019,F012,ENTAILED
F019,F013,ENTAILED
F019,F014,ENTAILED
F019,F015,NOT_ENTAILED
F019,F016,ENTAILED
F019,F017,ENTAILED
F019,F018,NOT_ENTAILED
F019,F019,ENTAILED
F019,F020,ENTAILED
F019,F021,ENTAILED
F019,F022,ENTAILED
F019,F023,NOT_ENTAILED
F019,F024,NOT_ENTAILED
F019,F025,ENTAILED
F019,F026,NOT_ENTAILED
F020,F001,ENTAILED
F020,F002,NOT_ENTAILED
F020,F003,NOT_ENTAILED
F020,F004,NOT_ENTAILED
F020,F005,NOT_ENTAILED
F020,F006,ENTAILED
F020,F007,ENTAILED
F020,F008,NOT_ENTAILED
F020,F009,NOT_ENTAILED
F020,F010,NOT_ENTAILED
F020,F011,NOT_ENTAILED
F020,F012,ENTAILED
F020,F013,ENTAILED
F020,F014,NOT_ENTAILED
F020,F015,NOT_ENTAILED
F020,F016,NOT_ENTAILED
F020,F017,ENTAILED
F020,F018,NOT_ENTAILED
F020,F019,NOT_ENTAILED
F020,F020,ENTAILED
F020,F021,NOT_ENTAILED
F020,F022,NOT_ENTAILED
F020,F023,NOT_ENTAILED
F020,F024,NOT_ENTAILED
F020,F025,NOT_ENTAILED
F020,F026,NOT_ENTAILED
F021,F001,NOT_ENTAILED
F021,F002,NOT_ENTAILED
F021,F003,NOT_ENTAILED
F021,F004,NOT_ENTAILED
F021,F005,NOT_ENTAILED
F021,F006,NOT_ENTAILED
F021,F007,NOT_ENTAILED
F021,F008,NOT_ENTAILED
F021,F009,NOT_ENTAILED
F021,F010,NOT_ENTAILED
F021,F011,NOT_ENTAILED
F021,F012,NOT_ENTAILED
F021,F013,NOT_ENTAILED
F021,F014,NOT_ENTAILED
F021,F015,NOT_ENTAILED
F021,F016,NOT_ENTAILED
F021,F017,NOT_ENTAILED
F021,F018,NOT_ENTAILED
F021,F019,NOT_ENTAILED
F021,F020,NOT_ENTAILED
F021,F021,ENTAILED
F021,F022,NOT_ENTAILED
F021,F023,NOT_ENTAILED
F021,F024,NOT_ENTAILED
F021,F025,NOT_ENTAILED
F021,F026,NOT_ENTAILED
F022,F001,ENTAILED
F022,F002,NOT_ENTAILED
F022,F003,NOT_ENTAILED
F022,F004,NOT_ENTAILED
F022,F005,NOT_ENTAILED
F022,F006,NOT_ENTAILED
F022,F007,NOT_ENTAILED
F022,F008,NOT_ENTAILED
F022,F009,NOT_ENTAILED
F022,F010,NOT_ENTAILED
F022,F011,ENTAILED
F022,F012,ENTAILED
F022,F013,NOT_ENTAILED
F022,F014,NOT_ENTAILED
F022,F015,NOT_ENTAILED
F022,F016,ENTAILED
F022,F017,NOT_ENTAILED
F022,F018,NOT_ENTAILED
F022,F019,NOT_ENTAILED
F022,F020,NOT_ENTAILED
F022,F021,ENTAILED
F022,F022,ENTAILED
F022,F023,NOT_ENTAILED
F022,F024,NOT_ENTAILED
F022,F025,ENTAILED
F022,F026,NOT_ENTAILED
F023,F001,NOT_ENTAILED
F023,F002,NOT_ENTAILED
F023,F003,NOT_ENTAILED
F023,F004,NOT_ENTAILED
F023,F005,NOT_ENTAILED
F023,F006,NOT_ENTAILED
F023,F007,NOT_ENTAILED
F023,F008,NOT_ENTAILED
F023,F009,NOT_ENTAILED
F023,F010,NOT_ENTAILED
F023,F011,NOT_ENTAILED
F023,F012,NOT_ENTAILED
F023,F013,NOT_ENTAILED
F023,F014,NOT_ENTAILED
F023,F015,NOT_ENTAILED
F023,F016,NOT_ENTAILED
F023,F017,NOT_ENTAILED
F023,F018,NOT_ENTAILED
F023,F019,NOT_ENTAILED
F023,F020,NOT_ENTAILED
F023,F021,NOT_ENTAILED
F023,F022,NOT_ENTAILED
F023,F023,ENTAILED
F023,F024,NOT_ENTAILED
F023,F025,NOT_ENTAILED
F023,F026,NOT_ENTAILED
F024,F001,ENTAILED
F024,F002,NOT_ENTAILED
F024,F003,ENTAILED
F024,F004,NOT_ENTAILED
F024,F005,NOT_ENTAILED
F024,F006,ENTAILED
F024,F007,ENTAILED
F024,F008,NOT_ENTAILED
F024,F009,NOT_ENTAILED
F024,F010,ENTAILED
F024,F011,ENTAILED
F024,F012,ENTAILED
F024,F013,ENTAILED
F024,F014,NOT_ENTAILED
F024,F015,ENTAILED
F024,F016,ENTAILED
F024,F017,ENTAILED
F024,F018,NOT_ENTAILED
F024,F019,NOT_ENTAILED
F024,F020,ENTAILED
F024,F021,ENTAILED
F024,F022,ENTAILED
F024,F023,ENTAILED
F024,F024,ENTAILED
F024,F025,ENTAILED
F024,F026,ENTAILED
F025,F001,NOT_ENTAILED
F025,F002,NOT_ENTAILED
F025,F003,NOT_ENTAILED
F025,F004,NOT_ENTAILED
F025,F005,NOT_ENTAILED
F025,F006,NOT_ENTAILED
F025,F007,NOT_ENTAILED
F025,F008,NOT_ENTAILED
F025,F009,NOT_ENTAILED
F025,F010,NOT_ENTAILED
F025,F011,NOT_ENTAILED
F025,F012,NOT_ENTAILED
F025,F013,NOT_ENTAILED
F025,F014,NOT_ENTAILED
F025,F015,NOT_ENTAILED
F025,F016,NOT_ENTAILED
F025,F017,NOT_ENTAILED
F025,F018,NOT_ENTAILED
F025,F019,NOT_ENTAILED
F025,F020,NOT_ENTAILED
F025,F021,ENTAILED
F025,F022,NOT_ENTAILED
F025,F023,NOT_ENTAILED
F025,F024,NOT_ENTAILED
F025,F025,ENTAILED
F025,F026,NOT_ENTAILED
F026,F001,NOT_ENTAILED
F026,F002,NOT_ENTAILED
F026,F003,NOT_ENTAILED
F026,F004,NOT_ENTAILED
F026,F005,NOT_ENTAILED
F026,F006,NOT_ENTAILED
F026,F007,NOT_ENTAILED
F026,F008,NOT_ENTAILED
F026,F009,NOT_ENTAILED
F026,F010,NOT_ENTAILED
F026,F011,NOT_ENTAILED
F026,F012,NOT_ENTAILED
F026,F013,NOT_ENTAILED
F026,F014,NOT_ENTAILED
F026,F015,NOT_ENTAILED
F026,F016,NOT_ENTAILED
F026,F017,NOT_ENTAILED
F026,F018,NOT_ENTAILED
F026,F019,NOT_ENTAILED
F026,F020,NOT_ENTAILED
F026,F021,NOT_ENTAILED
F026,F022,NOT_ENTAILED
F026,F023,ENTAILED
F026,F024,NOT_ENTAILED
F026,F025,NOT_ENTAILED
F026,F026,ENTAILED
